Designator,Mid X,Mid Y,Rotation,Layer
D320,34.4500mm,-8.0000mm,90.00,Top
D321,52.4500mm,-8.0000mm,90.00,Top
D322,70.4500mm,-8.0000mm,90.00,Top
D323,88.4500mm,-8.0000mm,90.00,Top
D324,106.4500mm,-8.0000mm,90.00,Top
D325,124.4500mm,-8.0000mm,90.00,Top
D326,142.4500mm,-8.0000mm,90.00,Top
D327,160.4500mm,-8.0000mm,90.00,Top
D328,178.4500mm,-8.0000mm,90.00,Top
D329,196.4500mm,-8.0000mm,90.00,Top
D330,214.4500mm,-8.0000mm,90.00,Top
D331,232.4500mm,-8.0000mm,90.00,Top
D332,250.4500mm,-8.0000mm,90.00,Top
D333,275.2000mm,-8.0000mm,90.00,Top
D334,41.2000mm,-24.0000mm,90.00,Top
D335,61.4500mm,-24.0000mm,90.00,Top
D336,79.4500mm,-24.0000mm,90.00,Top
D337,97.4500mm,-24.0000mm,90.00,Top
D338,115.4500mm,-24.0000mm,90.00,Top
D339,133.4500mm,-24.0000mm,90.00,Top
D340,151.4500mm,-24.0000mm,90.00,Top
D341,169.4500mm,-24.0000mm,90.00,Top
D342,187.4500mm,-24.0000mm,90.00,Top
D343,205.4500mm,-24.0000mm,90.00,Top
D344,223.4500mm,-24.0000mm,90.00,Top
D345,241.4500mm,-24.0000mm,90.00,Top
D346,259.4500mm,-24.0000mm,90.00,Top
D347,277.4500mm,-24.0000mm,90.00,Top
D348,43.4500mm,-40.0000mm,90.00,Top
D349,65.9500mm,-40.0000mm,90.00,Top
D350,83.9500mm,-40.0000mm,90.00,Top
D351,101.9500mm,-40.0000mm,90.00,Top
D352,119.9500mm,-40.0000mm,90.00,Top
D353,137.9500mm,-40.0000mm,90.00,Top
D354,155.9500mm,-40.0000mm,90.00,Top
D355,173.9500mm,-40.0000mm,90.00,Top
D356,191.9500mm,-40.0000mm,90.00,Top
D357,209.9500mm,-40.0000mm,90.00,Top
D358,227.9500mm,-40.0000mm,90.00,Top
D359,245.9500mm,-40.0000mm,90.00,Top
D360,270.7000mm,-40.0000mm,90.00,Top
D361,47.9500mm,-56.0000mm,90.00,Top
D362,72.7000mm,-56.0000mm,90.00,Top
D363,90.7000mm,-56.0000mm,90.00,Top
D364,108.7000mm,-56.0000mm,90.00,Top
D365,126.7000mm,-56.0000mm,90.00,Top
D366,144.7000mm,-56.0000mm,90.00,Top
D367,162.7000mm,-56.0000mm,90.00,Top
D368,180.7000mm,-56.0000mm,90.00,Top
D369,198.7000mm,-56.0000mm,90.00,Top
D370,216.7000mm,-56.0000mm,90.00,Top
D371,234.7000mm,-56.0000mm,90.00,Top
D372,252.7000mm,-56.0000mm,90.00,Top
D373,272.9500mm,-56.0000mm,90.00,Top
D374,36.7000mm,-72.0000mm,90.00,Top
D375,54.7000mm,-72.0000mm,90.00,Top
D376,72.7000mm,-72.0000mm,90.00,Top
D377,90.7000mm,-72.0000mm,90.00,Top
D378,119.9500mm,-72.0000mm,90.00,Top
D379,160.4500mm,-72.0000mm,90.00,Top
D380,189.7000mm,-72.0000mm,90.00,Top
D381,207.7000mm,-72.0000mm,90.00,Top
D382,243.7000mm,-72.0000mm,90.00,Top
D383,261.7000mm,-72.0000mm,90.00,Top
D384,279.7000mm,-72.0000mm,90.00,Top
J320,285.8500mm,-41.2500mm,90.00,Top
